FIPS	State	County	Variable	pcnt_free_lunch
9013	Connecticut	Tolland	pcnt_free_lunch	12
9015	Connecticut	Windham	pcnt_free_lunch	31
10001	Delaware	Kent	pcnt_free_lunch	38
10003	Delaware	New Castle	pcnt_free_lunch	41
10005	Delaware	Sussex	pcnt_free_lunch	49
11001	District of Columbia	District of Columbia	pcnt_free_lunch	65
12001	Florida	Alachua	pcnt_free_lunch	41
12003	Florida	Baker	pcnt_free_lunch	40
12005	Florida	Bay	pcnt_free_lunch	46
12007	Florida	Bradford	pcnt_free_lunch	57
12009	Florida	Brevard	pcnt_free_lunch	35
12011	Florida	Broward	pcnt_free_lunch	46
12013	Florida	Calhoun	pcnt_free_lunch	52
12015	Florida	Charlotte	pcnt_free_lunch	49
12017	Florida	Citrus	pcnt_free_lunch	46
12019	Florida	Clay	pcnt_free_lunch	29
12021	Florida	Collier	pcnt_free_lunch	52
12023	Florida	Columbia	pcnt_free_lunch	53
12027	Florida	DeSoto	pcnt_free_lunch	66
12029	Florida	Dixie	pcnt_free_lunch	66
12031	Florida	Duval	pcnt_free_lunch	48
12033	Florida	Escambia	pcnt_free_lunch	51
12035	Florida	Flagler	pcnt_free_lunch	50
12037	Florida	Franklin	pcnt_free_lunch	66
12039	Florida	Gadsden	pcnt_free_lunch	77
12041	Florida	Gilchrist	pcnt_free_lunch	46
12043	Florida	Glades	pcnt_free_lunch	51
12045	Florida	Gulf	pcnt_free_lunch	43
12047	Florida	Hamilton	pcnt_free_lunch	69
12049	Florida	Hardee	pcnt_free_lunch	69
12051	Florida	Hendry	pcnt_free_lunch	72
12053	Florida	Hernando	pcnt_free_lunch	47
12055	Florida	Highlands	pcnt_free_lunch	60
12057	Florida	Hillsborough	pcnt_free_lunch	48
12059	Florida	Holmes	pcnt_free_lunch	53
12061	Florida	Indian River	pcnt_free_lunch	47
12063	Florida	Jackson	pcnt_free_lunch	50
12065	Florida	Jefferson	pcnt_free_lunch	67
12067	Florida	Lafayette	pcnt_free_lunch	51
12069	Florida	Lake	pcnt_free_lunch	46
12071	Florida	Lee	pcnt_free_lunch	54
12073	Florida	Leon	pcnt_free_lunch	37
