FIPS	State	County	Variable	age_adjusted_premature_mortality
13019	Georgia	Berrien	age_adjusted_premature_mortality	442.6
13021	Georgia	Bibb	age_adjusted_premature_mortality	538.5
13023	Georgia	Bleckley	age_adjusted_premature_mortality	508.2
13025	Georgia	Brantley	age_adjusted_premature_mortality	561.6
13027	Georgia	Brooks	age_adjusted_premature_mortality	402.6
13029	Georgia	Bryan	age_adjusted_premature_mortality	420.2
13031	Georgia	Bulloch	age_adjusted_premature_mortality	422.2
13033	Georgia	Burke	age_adjusted_premature_mortality	513.1
13035	Georgia	Butts	age_adjusted_premature_mortality	557
13037	Georgia	Calhoun	age_adjusted_premature_mortality	402.4
13039	Georgia	Camden	age_adjusted_premature_mortality	366.7
13043	Georgia	Candler	age_adjusted_premature_mortality	519.6
13045	Georgia	Carroll	age_adjusted_premature_mortality	445.1
13047	Georgia	Catoosa	age_adjusted_premature_mortality	359.3
13049	Georgia	Charlton	age_adjusted_premature_mortality	413.6
13051	Georgia	Chatham	age_adjusted_premature_mortality	410.7
13053	Georgia	Chattahoochee	age_adjusted_premature_mortality	575.5
13055	Georgia	Chattooga	age_adjusted_premature_mortality	515.9
13057	Georgia	Cherokee	age_adjusted_premature_mortality	290
13059	Georgia	Clarke	age_adjusted_premature_mortality	356.4
13061	Georgia	Clay	age_adjusted_premature_mortality	704
13063	Georgia	Clayton	age_adjusted_premature_mortality	422.2
13065	Georgia	Clinch	age_adjusted_premature_mortality	561.6
13067	Georgia	Cobb	age_adjusted_premature_mortality	282.8
13069	Georgia	Coffee	age_adjusted_premature_mortality	477.6
13071	Georgia	Colquitt	age_adjusted_premature_mortality	449.1
13073	Georgia	Columbia	age_adjusted_premature_mortality	310.6
13075	Georgia	Cook	age_adjusted_premature_mortality	500.6
13077	Georgia	Coweta	age_adjusted_premature_mortality	329.4
13079	Georgia	Crawford	age_adjusted_premature_mortality	391.1
13081	Georgia	Crisp	age_adjusted_premature_mortality	477.6
13083	Georgia	Dade	age_adjusted_premature_mortality	514.4
13085	Georgia	Dawson	age_adjusted_premature_mortality	330.3
13087	Georgia	Decatur	age_adjusted_premature_mortality	550.9
13089	Georgia	DeKalb	age_adjusted_premature_mortality	341.8
13091	Georgia	Dodge	age_adjusted_premature_mortality	492.8
13093	Georgia	Dooly	age_adjusted_premature_mortality	320.2
13095	Georgia	Dougherty	age_adjusted_premature_mortality	465.4
13097	Georgia	Douglas	age_adjusted_premature_mortality	380.6
13099	Georgia	Early	age_adjusted_premature_mortality	557.1
13101	Georgia	Echols	age_adjusted_premature_mortality	399.6
13103	Georgia	Effingham	age_adjusted_premature_mortality	397
13105	Georgia	Elbert	age_adjusted_premature_mortality	488.9
13107	Georgia	Emanuel	age_adjusted_premature_mortality	559.6
13109	Georgia	Evans	age_adjusted_premature_mortality	501.4
13111	Georgia	Fannin	age_adjusted_premature_mortality	410.5
13113	Georgia	Fayette	age_adjusted_premature_mortality	253.9
13115	Georgia	Floyd	age_adjusted_premature_mortality	446.2
13117	Georgia	Forsyth	age_adjusted_premature_mortality	234.1
13119	Georgia	Franklin	age_adjusted_premature_mortality	509.8
13121	Georgia	Fulton	age_adjusted_premature_mortality	398.6
13123	Georgia	Gilmer	age_adjusted_premature_mortality	348.6
13125	Georgia	Glascock	age_adjusted_premature_mortality	545.2
13127	Georgia	Glynn	age_adjusted_premature_mortality	412.7
13129	Georgia	Gordon	age_adjusted_premature_mortality	453.3
13131	Georgia	Grady	age_adjusted_premature_mortality	414.3
