FIPS	State	County	Variable	infant_mortality_rate
13267	Georgia	Tattnall	infant_mortality_rate	1213.3
13269	Georgia	Taylor	infant_mortality_rate	
13271	Georgia	Telfair	infant_mortality_rate	
13273	Georgia	Terrell	infant_mortality_rate	2052
13275	Georgia	Thomas	infant_mortality_rate	911.5
13277	Georgia	Tift	infant_mortality_rate	1014.9
13279	Georgia	Toombs	infant_mortality_rate	674.8
13281	Georgia	Towns	infant_mortality_rate	
13283	Georgia	Treutlen	infant_mortality_rate	
13285	Georgia	Troup	infant_mortality_rate	931.9
13287	Georgia	Turner	infant_mortality_rate	
13289	Georgia	Twiggs	infant_mortality_rate	
13291	Georgia	Union	infant_mortality_rate	
13293	Georgia	Upson	infant_mortality_rate	979.3
13295	Georgia	Walker	infant_mortality_rate	701.9
13297	Georgia	Walton	infant_mortality_rate	669.1
13299	Georgia	Ware	infant_mortality_rate	949.7
13301	Georgia	Warren	infant_mortality_rate	
13303	Georgia	Washington	infant_mortality_rate	1064.6
13305	Georgia	Wayne	infant_mortality_rate	1399.3
