FIPS	State	County	Variable	rec_facility_rate
13017	Georgia	Ben Hill	rec_facility_rate	5.7
13019	Georgia	Berrien	rec_facility_rate	0
13021	Georgia	Bibb	rec_facility_rate	9
13023	Georgia	Bleckley	rec_facility_rate	0
13025	Georgia	Brantley	rec_facility_rate	5.4
13027	Georgia	Brooks	rec_facility_rate	0
13029	Georgia	Bryan	rec_facility_rate	19.7
13031	Georgia	Bulloch	rec_facility_rate	4.2
13033	Georgia	Burke	rec_facility_rate	0
13035	Georgia	Butts	rec_facility_rate	8.4
13037	Georgia	Calhoun	rec_facility_rate	0
13039	Georgia	Camden	rec_facility_rate	3.9
13043	Georgia	Candler	rec_facility_rate	0
13045	Georgia	Carroll	rec_facility_rate	10.8
13047	Georgia	Catoosa	rec_facility_rate	7.8
13049	Georgia	Charlton	rec_facility_rate	7.8
13051	Georgia	Chatham	rec_facility_rate	8.3
13053	Georgia	Chattahoochee	rec_facility_rate	9
13055	Georgia	Chattooga	rec_facility_rate	3.8
13057	Georgia	Cherokee	rec_facility_rate	14.9
13059	Georgia	Clarke	rec_facility_rate	9.4
13061	Georgia	Clay	rec_facility_rate	0
13063	Georgia	Clayton	rec_facility_rate	2.3
13065	Georgia	Clinch	rec_facility_rate	0
13067	Georgia	Cobb	rec_facility_rate	11.6
13069	Georgia	Coffee	rec_facility_rate	4.7
13071	Georgia	Colquitt	rec_facility_rate	4.4
13073	Georgia	Columbia	rec_facility_rate	7.2
13075	Georgia	Cook	rec_facility_rate	0
13077	Georgia	Coweta	rec_facility_rate	9.4
13079	Georgia	Crawford	rec_facility_rate	0
13081	Georgia	Crisp	rec_facility_rate	12.8
13083	Georgia	Dade	rec_facility_rate	0
13085	Georgia	Dawson	rec_facility_rate	13.4
13087	Georgia	Decatur	rec_facility_rate	14.4
13089	Georgia	DeKalb	rec_facility_rate	8.9
13091	Georgia	Dodge	rec_facility_rate	4.6
13093	Georgia	Dooly	rec_facility_rate	0
13095	Georgia	Dougherty	rec_facility_rate	6.3
13097	Georgia	Douglas	rec_facility_rate	4.5
13099	Georgia	Early	rec_facility_rate	9.1
13101	Georgia	Echols	rec_facility_rate	0
13103	Georgia	Effingham	rec_facility_rate	0
13105	Georgia	Elbert	rec_facility_rate	0
13107	Georgia	Emanuel	rec_facility_rate	0
13109	Georgia	Evans	rec_facility_rate	0
13111	Georgia	Fannin	rec_facility_rate	4.2
13113	Georgia	Fayette	rec_facility_rate	8.4
13115	Georgia	Floyd	rec_facility_rate	7.3
13117	Georgia	Forsyth	rec_facility_rate	14.1
13119	Georgia	Franklin	rec_facility_rate	4.5
13121	Georgia	Fulton	rec_facility_rate	13.7
13123	Georgia	Gilmer	rec_facility_rate	3.5
13125	Georgia	Glascock	rec_facility_rate	0
13127	Georgia	Glynn	rec_facility_rate	11.3
13129	Georgia	Gordon	rec_facility_rate	5.4
13131	Georgia	Grady	rec_facility_rate	12
13133	Georgia	Greene	rec_facility_rate	0
13135	Georgia	Gwinnett	rec_facility_rate	9.3
13137	Georgia	Habersham	rec_facility_rate	2.3
13139	Georgia	Hall	rec_facility_rate	4.4
13141	Georgia	Hancock	rec_facility_rate	0
13143	Georgia	Haralson	rec_facility_rate	6.9
13145	Georgia	Harris	rec_facility_rate	6.2
13147	Georgia	Hart	rec_facility_rate	11.9
13149	Georgia	Heard	rec_facility_rate	0
13151	Georgia	Henry	rec_facility_rate	5.8
13153	Georgia	Houston	rec_facility_rate	7.1
13155	Georgia	Irwin	rec_facility_rate	0
13157	Georgia	Jackson	rec_facility_rate	9.9
13159	Georgia	Jasper	rec_facility_rate	7.2
13161	Georgia	Jeff Davis	rec_facility_rate	0
13163	Georgia	Jefferson	rec_facility_rate	0
13165	Georgia	Jenkins	rec_facility_rate	0
13167	Georgia	Johnson	rec_facility_rate	0
13169	Georgia	Jones	rec_facility_rate	10.5
13171	Georgia	Lamar	rec_facility_rate	0
13173	Georgia	Lanier	rec_facility_rate	0
13175	Georgia	Laurens	rec_facility_rate	10.3
13177	Georgia	Lee	rec_facility_rate	10.5
13179	Georgia	Liberty	rec_facility_rate	3.2
13181	Georgia	Lincoln	rec_facility_rate	0
13183	Georgia	Long	rec_facility_rate	0
13185	Georgia	Lowndes	rec_facility_rate	9.1
13187	Georgia	Lumpkin	rec_facility_rate	3.3
13189	Georgia	McDuffie	rec_facility_rate	0
13191	Georgia	McIntosh	rec_facility_rate	0
13193	Georgia	Macon	rec_facility_rate	0
13195	Georgia	Madison	rec_facility_rate	7.1
13197	Georgia	Marion	rec_facility_rate	0
13199	Georgia	Meriwether	rec_facility_rate	0
13201	Georgia	Miller	rec_facility_rate	0
13205	Georgia	Mitchell	rec_facility_rate	0
13207	Georgia	Monroe	rec_facility_rate	11.3
13209	Georgia	Montgomery	rec_facility_rate	0
13211	Georgia	Morgan	rec_facility_rate	0
13213	Georgia	Murray	rec_facility_rate	0
13215	Georgia	Muscogee	rec_facility_rate	8.4
13217	Georgia	Newton	rec_facility_rate	5
13219	Georgia	Oconee	rec_facility_rate	12.1
13221	Georgia	Oglethorpe	rec_facility_rate	6.7
13223	Georgia	Paulding	rec_facility_rate	11.2
13225	Georgia	Peach	rec_facility_rate	3.6
13227	Georgia	Pickens	rec_facility_rate	3.4
13229	Georgia	Pierce	rec_facility_rate	5.3
13231	Georgia	Pike	rec_facility_rate	16.7
13233	Georgia	Polk	rec_facility_rate	9.7
13235	Georgia	Pulaski	rec_facility_rate	0
13237	Georgia	Putnam	rec_facility_rate	4.7
13239	Georgia	Quitman	rec_facility_rate	0
13241	Georgia	Rabun	rec_facility_rate	6.1
13243	Georgia	Randolph	rec_facility_rate	0
13245	Georgia	Richmond	rec_facility_rate	3
13247	Georgia	Rockdale	rec_facility_rate	8.2
13249	Georgia	Schley	rec_facility_rate	0
13251	Georgia	Screven	rec_facility_rate	0
13253	Georgia	Seminole	rec_facility_rate	0
13255	Georgia	Spalding	rec_facility_rate	7.8
13257	Georgia	Stephens	rec_facility_rate	11.5
13259	Georgia	Stewart	rec_facility_rate	0
13261	Georgia	Sumter	rec_facility_rate	3
13263	Georgia	Talbot	rec_facility_rate	14.6
13265	Georgia	Taliaferro	rec_facility_rate	0
13267	Georgia	Tattnall	rec_facility_rate	0
13269	Georgia	Taylor	rec_facility_rate	0
13271	Georgia	Telfair	rec_facility_rate	0
13273	Georgia	Terrell	rec_facility_rate	0
13275	Georgia	Thomas	rec_facility_rate	15.6
13277	Georgia	Tift	rec_facility_rate	12.4
